BADANIE;Jednostka;Cena
RTG CITO;tdsuchab;0
RTG CITO;tomograf;39
RTG CITO;wsswroclaw;38
RTG CITO;wysmaz;36
RTG CITO;zozbol;35,9
RTG CITO;zozboleslawiec;35,9
RTG CITO;zozsochaczew;42
RTG PILNE;alfasochaczew;30
RTG PILNE;diamed;33
RTG PILNE;domchojna2;33
RTG PILNE;domchojna;33
RTG PILNE;gz;33
RTG PILNE;gzplonsk;33
RTG PILNE;gzszczecin;33
RTG PILNE;kamienpomorski;33
RTG PILNE;kosmowroclaw;32
RTG PILNE;medinet;33
RTG PILNE;nrkrakow;34
RTG PILNE;nzozevita;34
RTG PILNE;powiatsredzki;36
RTG PILNE;smtorun;34
RTG PILNE;szpitalsiemiatycze;0
RTG PILNE;tdallmedica;32
RTG PILNE;tdcmbatorego;29
RTG PILNE;tdcrir;34
RTG PILNE;tdkoszalinmswia;28
RTG PILNE;tdorzesze;34
RTG PILNE;tdstalowawola;31
RTG PILNE;tdtargowek;34
RTG PILNE;tdzozwola;0
RTG PILNE;wegorzewo;0
RTG PILNE;wimed;33
RTG PILNE;wss5;34
RTG PILNE;bialogard;34
RTG PILNE;brodnica;32
RTG PILNE;brzesko;36
RTG PILNE;cobydgoszcz;36
RTG PILNE;dcmdolmed;34
RTG PILNE;dzierzoniow;34
RTG PILNE;faceclinic;0
RTG PILNE;goleniow;0
RTG PILNE;gorlice;0
RTG PILNE;grajewo;34
RTG PILNE;grodzisk;29
RTG PILNE;kartuzy;0
RTG PILNE;klodzko;32
RTG PILNE;lapy;34
RTG PILNE;lubaczow;35
RTG PILNE;mswsiedlce;35
RTG PILNE;nml;34
RTG PILNE;ostrow;36
RTG PILNE;pczotwock;33
RTG PILNE;radiomedica;31
RTG PILNE;rybnik;32
RTG PILNE;scanmed;36
RTG PILNE;sokolow;34
RTG PILNE;spbochnia;0
RTG PILNE;spzozlezajsk;0
RTG PILNE;spzozturek;0
RTG PILNE;spzzozsierpc;36
RTG PILNE;starachowice;36
RTG PILNE;swk;36
RTG PILNE;szpitaldzieciecy;36
RTG PILNE;szpitallubartow;34
RTG PILNE;szpitalopole;30
RTG PILNE;szpitalzakopane;32
RTG PILNE;szpitalzawiercie;36
RTG PILNE;tdbelzyce;36
RTG PILNE;tdblachownia;36
RTG PILNE;tdbonifratrzy;34
RTG PILNE;tdbrodnowski;29
RTG PILNE;tdemcpiaseczno;36
RTG PILNE;tdgammaknife;34
RTG PILNE;tdkluczbork;0
RTG PILNE;tdksskrakow;0
RTG PILNE;tdneuromedyka;34
RTG PILNE;tdnowomedica;0
RTG PILNE;tdonkologiaradom;34
RTG PILNE;tdparczew;32
RTG PILNE;tdpionki;33
RTG PILNE;tdpraski;34
RTG PILNE;tdpoludniowy;0
RTG PILNE;tdpyrzyce;34
RTG PILNE;tdscanmedak5;0
RTG PILNE;tdscanmedpila;0
RTG PILNE;tdsmswinoujscie;0
RTG PILNE;tdspectrum;0
RTG PILNE;tdspzozkolo;30
RTG PILNE;tdspzozsiedlce;0
RTG PILNE;tdsulechowNOWY;32
RTG PILNE;tdszpitalchelm;29
RTG PILNE;tdszpitalkolno;39
RTG PILNE;tdwszplock;0
RTG PILNE;tdzoznidzica;0
RTG PILNE;tdzozplonsk;0
RTG PILNE;td7szmw;0
RTG PILNE;tworki;0
RTG PILNE;uskbialystok;0
RTG PILNE;uskpoznan;0
RTG PILNE;wlodawa;38
RTG PILNE;zambrow;32
RTG PILNE;zgorzelec;34
RTG PILNE;zozbiala;32
RTG PILNE;zozswietochlowice;0
RTG PILNE;almed;33
RTG PILNE;dabrowatarnowska;34
RTG PILNE;grupazdrowie;33
RTG PILNE;komed;30
RTG PILNE;mswiapoznan;33
RTG PILNE;poddebice2;32
RTG PILNE;swp;36
RTG PILNE;puszczykowo;36
RTG PILNE;rodamed;34
RTG PILNE;sm4gliwice;34
RTG PILNE;spzozgrodzisk;35
RTG PILNE;spzozswidnica;34
RTG PILNE;szpitaljaslo;34
RTG PILNE;szpitalrydygier;36
RTG PILNE;tdmilicz;0
RTG PILNE;tdsuchab;0
RTG PILNE;tomograf;34
RTG PILNE;wsswroclaw;36
RTG PILNE;wysmaz;32
RTG PILNE;zozbol;29,9
RTG PILNE;zozboleslawiec;29,9
RTG PILNE;zozsochaczew;36
RTG PLANOWE;alfasochaczew;27
RTG PLANOWE;bimed;28
RTG PLANOWE;diamed;29
RTG PLANOWE;domchojna2;29
RTG PLANOWE;domchojna;29
RTG PLANOWE;gz;30
RTG PLANOWE;gzplonsk;30
RTG PLANOWE;gzszczecin;30
RTG PLANOWE;kamienpomorski;29
RTG PLANOWE;kosmowroclaw;29
RTG PLANOWE;medinet;29
RTG PLANOWE;nrkrakow;32
RTG PLANOWE;nzozevita;29
RTG PLANOWE;powiatsredzki;32
RTG PLANOWE;smtorun;30
RTG PLANOWE;szpitalsiemiatycze;0
RTG PLANOWE;tdallmedica;28
RTG PLANOWE;tdcmbatorego;25
RTG PLANOWE;tdcrir;29
RTG PLANOWE;tdkoszalinmswia;25
RTG PLANOWE;tdorzesze;30
RTG PLANOWE;tdstalowawola;29
RTG PLANOWE;tdtargowek;30
RTG PLANOWE;tdzozwola;28
RTG PLANOWE;wegorzewo;29
RTG PLANOWE;wimed;29
RTG PLANOWE;wss5;28
RTG PLANOWE;bialogard;30
RTG PLANOWE;brodnica;27
RTG PLANOWE;brzesko;32
RTG PLANOWE;cobydgoszcz;0
RTG PLANOWE;dcmdolmed;32
RTG PLANOWE;dzierzoniow;29
RTG PLANOWE;faceclinic;0
RTG PLANOWE;goleniow;34
RTG PLANOWE;gorlice;32
RTG PLANOWE;grajewo;32
RTG PLANOWE;grodzisk;26
RTG PLANOWE;kartuzy;28
RTG PLANOWE;klodzko;28
RTG PLANOWE;lapy;32
RTG PLANOWE;lubaczow;29
RTG PLANOWE;mswsiedlce;33
RTG PLANOWE;nml;29
RTG PLANOWE;ostrow;30
RTG PLANOWE;pczotwock;31
RTG PLANOWE;radiomedica;27
RTG PLANOWE;rybnik;29
RTG PLANOWE;scanmed;30,5
RTG PLANOWE;sokolow;30
RTG PLANOWE;spbochnia;0
RTG PLANOWE;spzozlezajsk;0
RTG PLANOWE;spzozmc;30
RTG PLANOWE;spzozturek;0
RTG PLANOWE;spzzozsierpc;30
RTG PLANOWE;starachowice;32
RTG PLANOWE;swk;32
RTG PLANOWE;szpitaldzieciecy;32
RTG PLANOWE;szpitallubartow;32
RTG PLANOWE;szpitalopole;28
RTG PLANOWE;szpitalzakopane;30
RTG PLANOWE;szpitalzawiercie;34
RTG PLANOWE;tdbelzyce;28
RTG PLANOWE;tdblachownia;30,5
RTG PLANOWE;tdbonifratrzy;32
RTG PLANOWE;tdbrodnowski;26
RTG PLANOWE;tdemcpiaseczno;0
RTG PLANOWE;tdgammaknife;32
RTG PLANOWE;tdgniezno;29
RTG PLANOWE;tdipin;30
RTG PLANOWE;tdkluczbork;0
RTG PLANOWE;tdksskrakow;0
RTG PLANOWE;tdneuromedyka;29
RTG PLANOWE;tdnowomedica;0
RTG PLANOWE;tdonkologiaradom;32
RTG PLANOWE;tdparczew;30
RTG PLANOWE;tdpionki;29
RTG PLANOWE;tdpraski;30
RTG PLANOWE;tdpoludniowy;27
RTG PLANOWE;tdpyrzyce;30
RTG PLANOWE;tdscanmedak5;0
RTG PLANOWE;tdscanmedpila;0
RTG PLANOWE;tdsmswinoujscie;29
RTG PLANOWE;tdspectrum;0
RTG PLANOWE;tdspzozkolo;28
RTG PLANOWE;tdspzozsiedlce;28
RTG PLANOWE;tdsulechowNOWY;28
RTG PLANOWE;tdszpitalchelm;25
RTG PLANOWE;tdszpitalkolno;32
RTG PLANOWE;tdwszplock;30
RTG PLANOWE;tdzoznidzica;0
RTG PLANOWE;tdzozplonsk;0
RTG PLANOWE;td7szmw;0
RTG PLANOWE;tworki;0
RTG PLANOWE;uskbialystok;0
RTG PLANOWE;uskpoznan;0
RTG PLANOWE;wlodawa;32
RTG PLANOWE;zambrow;30
RTG PLANOWE;zgorzelec;30
RTG PLANOWE;zozbiala;27
RTG PLANOWE;zozswietochlowice;0
RTG PLANOWE;almed;30
RTG PLANOWE;dabrowatarnowska;0
RTG PLANOWE;grupazdrowie;30
RTG PLANOWE;komed;27
RTG PLANOWE;mswiapoznan;27
RTG PLANOWE;poddebice2;29,5
RTG PLANOWE;swp;32
RTG PLANOWE;puszczykowo;32
RTG PLANOWE;rodamed;29
RTG PLANOWE;sm4gliwice;32
RTG PLANOWE;spzozgrodzisk;29
RTG PLANOWE;spzozswidnica;30
RTG PLANOWE;szpitaljaslo;30
RTG PLANOWE;szpitalrydygier;32
RTG PLANOWE;tdmilicz;0
RTG PLANOWE;tdsuchab;32
RTG PLANOWE;tomograf;32
RTG PLANOWE;wsswroclaw;32
RTG PLANOWE;wysmaz;28
RTG PLANOWE;zozbol;24,9
RTG PLANOWE;zozboleslawiec;24,9
RTG PLANOWE;zozsochaczew;32
TK CITO;alfasochaczew;0
TK CITO;diamed;0
TK CITO;domchojna2;0
TK CITO;domchojna;0
TK CITO;gz;0
TK CITO;gzplonsk;0
TK CITO;gzszczecin;0
TK CITO;kamienpomorski;0
TK CITO;kosmowroclaw;0
TK CITO;medinet;0
TK CITO;nrkrakow;0
TK CITO;nzozevita;0
TK CITO;powiatsredzki;0
TK CITO;smtorun;0
TK CITO;szpitalsiemiatycze;0
TK CITO;tdallmedica;0
TK CITO;tdcrir;0
TK CITO;tdkoszalinmswia;0
TK CITO;tdorzesze;0
TK CITO;tdstalowawola;0
TK CITO;tdtargowek;0
TK CITO;tdzozwola;0
TK CITO;wegorzewo;0
TK CITO;wimed;0
TK CITO;wss5;0
TK CITO;bialogard;235
TK CITO;brodnica;215
TK CITO;brzesko;220
TK CITO;cobydgoszcz;250
TK CITO;dcmdolmed;250
TK CITO;dzierzoniow;250
TK CITO;faceclinic;0
TK CITO;goleniow;320
TK CITO;gorlice;230
TK CITO;grajewo;240
TK CITO;grodzisk;190
TK CITO;kartuzy;210
TK CITO;klodzko;235
TK CITO;lapy;220
TK CITO;lubaczow;240
TK CITO;mswsiedlce;270
TK CITO;nml;240
TK CITO;ostrow;220
TK CITO;pczotwock;240
TK CITO;radiomedica;220
TK CITO;rybnik;210
TK CITO;scanmed;215
TK CITO;sokolow;210
TK CITO;spbochnia;195
TK CITO;spzozlezajsk;210
TK CITO;spzozmc;230
TK CITO;spzozturek;195
TK CITO;spzzozsierpc;220
TK CITO;starachowice;220
TK CITO;swk;240
TK CITO;szpitaldzieciecy;230
TK CITO;szpitallubartow;215
TK CITO;szpitalopole;260
TK CITO;szpitalzakopane;225
TK CITO;szpitalzawiercie;260
TK CITO;tdbelzyce;240
TK CITO;tdblachownia;215
TK CITO;tdbonifratrzy;240
TK CITO;tdbrodnowski;230
TK CITO;tdemcpiaseczno;240
TK CITO;tdgniezno;250
TK CITO;tdipin;230
TK CITO;tdkluczbork;0
TK CITO;tdkolbuszowa;230
TK CITO;tdksskrakow;230
TK CITO;tdneuromedyka;230
TK CITO;tdnowomedica;0
TK CITO;tdonkologiaradom;0
TK CITO;tdparczew;260
TK CITO;tdpionki;240
TK CITO;tdpraski;210
TK CITO;tdpoludniowy;220
TK CITO;tdpyrzyce;250
TK CITO;tdscanmedak5;0
TK CITO;tdscanmedpila;215
TK CITO;tdsmswinoujscie;270
TK CITO;tdspectrum;0
TK CITO;tdspzozkolo;195
TK CITO;tdspzozsiedlce;220
TK CITO;tdsulechowNOWY;230
TK CITO;tdszpitalchelm;240
TK CITO;tdszpitalkolno;230
TK CITO;tdwszplock;240
TK CITO;tdzoznidzica;210
TK CITO;tdzozplonsk;225
TK CITO;td7szmw;210
TK CITO;tworki;280
TK CITO;uskbialystok;230
TK CITO;uskpoznan;180
TK CITO;wlodawa;200
TK CITO;zambrow;210
TK CITO;zgorzelec;230
TK CITO;zozbiala;210
TK CITO;zozswietochlowice;260
TK CITO;almed;205
TK CITO;dabrowatarnowska;235
TK CITO;grupazdrowie;240
TK CITO;komed;250
TK CITO;mswiapoznan;220
TK CITO;poddebice2;215
TK CITO;swp;250
TK CITO;puszczykowo;250
TK CITO;rodamed;195
TK CITO;sm4gliwice;260
TK CITO;spzozgrodzisk;210
TK CITO;spzozswidnica;230
TK CITO;szpitaljaslo;250
TK CITO;szpitalrydygier;250
TK CITO;tdmilicz;270
TK CITO;tdsuchab;260
TK CITO;tomograf;260
TK CITO;wsswroclaw;250
TK CITO;wysmaz;220
TK CITO;zozbol;180,9
TK CITO;zozboleslawiec;180,9
TK CITO;zozsochaczew;210
TK PILNE;alfasochaczew;0
TK PILNE;diamed;0
TK PILNE;domchojna2;0
TK PILNE;domchojna;0
TK PILNE;gz;0
TK PILNE;gzplonsk;0
TK PILNE;gzszczecin;0
TK PILNE;kamienpomorski;0
TK PILNE;kosmowroclaw;0
TK PILNE;medinet;0
TK PILNE;nrkrakow;0
TK PILNE;nzozevita;0
TK PILNE;powiatsredzki;0
TK PILNE;smtorun;0
TK PILNE;szpitalsiemiatycze;0
TK PILNE;tdallmedica;0
TK PILNE;tdcrir;0
TK PILNE;tdkoszalinmswia;0
TK PILNE;tdorzesze;0
TK PILNE;tdstalowawola;0
TK PILNE;tdtargowek;0
TK PILNE;tdzozwola;0
TK PILNE;wegorzewo;0
TK PILNE;wimed;0
TK PILNE;wss5;0
TK PILNE;bialogard;210
TK PILNE;brodnica;185
TK PILNE;brzesko;210
TK PILNE;cobydgoszcz;230
TK PILNE;dcmdolmed;230
TK PILNE;dzierzoniow;230
TK PILNE;faceclinic;0
TK PILNE;goleniow;280
TK PILNE;gorlice;0
TK PILNE;grajewo;230
TK PILNE;grodzisk;175
TK PILNE;kartuzy;190
TK PILNE;klodzko;210
TK PILNE;lapy;210
TK PILNE;lubaczow;210
TK PILNE;mswsiedlce;250
TK PILNE;nml;225
TK PILNE;ostrow;210
TK PILNE;pczotwock;225
TK PILNE;radiomedica;200
TK PILNE;rybnik;190
TK PILNE;scanmed;195
TK PILNE;sokolow;200
TK PILNE;spbochnia;180
TK PILNE;spzozlezajsk;200
TK PILNE;spzozmc;210
TK PILNE;spzozturek;180
TK PILNE;spzzozsierpc;210
TK PILNE;starachowice;205
TK PILNE;swk;230
TK PILNE;szpitaldzieciecy;210
TK PILNE;szpitallubartow;195
TK PILNE;szpitalopole;230
TK PILNE;szpitalzakopane;215
TK PILNE;szpitalzawiercie;230
TK PILNE;tdbelzyce;0
TK PILNE;tdblachownia;195
TK PILNE;tdbonifratrzy;210
TK PILNE;tdbrodnowski;200
TK PILNE;tdemcpiaseczno;210
TK PILNE;tdgniezno;0
TK PILNE;tdipin;215
TK PILNE;tdkluczbork;0
TK PILNE;tdkolbuszowa;215
TK PILNE;tdksskrakow;190
TK PILNE;tdneuromedyka;210
TK PILNE;tdnowomedica;0
TK PILNE;tdonkologiaradom;0
TK PILNE;tdparczew;230
TK PILNE;tdpionki;210
TK PILNE;tdpraski;200
TK PILNE;tdpoludniowy;0
TK PILNE;tdpyrzyce;230
TK PILNE;tdscanmedak5;0
TK PILNE;tdscanmedpila;195
TK PILNE;tdsmswinoujscie;220
TK PILNE;tdspectrum;0
TK PILNE;tdspzozkolo;175
TK PILNE;tdspzozsiedlce;0
TK PILNE;tdsulechowNOWY;210
TK PILNE;tdszpitalchelm;0
TK PILNE;tdszpitalkolno;230
TK PILNE;tdwszplock;230
TK PILNE;tdzoznidzica;0
TK PILNE;tdzozplonsk;210
TK PILNE;td7szmw;0
TK PILNE;tworki;250
TK PILNE;uskbialystok;210
TK PILNE;wlodawa;190
TK PILNE;zambrow;195
TK PILNE;zgorzelec;210
TK PILNE;zozbiala;190
TK PILNE;zozswietochlowice;0
TK PILNE;almed;185
TK PILNE;dabrowatarnowska;215
TK PILNE;grupazdrowie;220
TK PILNE;komed;230
TK PILNE;mswiapoznan;220
TK PILNE;poddebice2;200
TK PILNE;swp;230
TK PILNE;puszczykowo;230
TK PILNE;rodamed;180
TK PILNE;sm4gliwice;230
TK PILNE;spzozgrodzisk;190
TK PILNE;spzozswidnica;210
TK PILNE;szpitaljaslo;230
TK PILNE;szpitalrydygier;230
TK PILNE;tdmilicz;230
TK PILNE;tdsuchab;240
TK PILNE;tomograf;230
TK PILNE;wsswroclaw;210
TK PILNE;wysmaz;210
TK PILNE;zozbol;150,9
TK PILNE;zozboleslawiec;150,9
TK PILNE;zozsochaczew;200
TK PLANOWE;alfasochaczew;0
TK PLANOWE;diamed;0
TK PLANOWE;domchojna2;0
TK PLANOWE;domchojna;0
TK PLANOWE;gz;0
TK PLANOWE;gzplonsk;0
TK PLANOWE;gzszczecin;0
TK PLANOWE;kamienpomorski;0
TK PLANOWE;kosmowroclaw;0
TK PLANOWE;medinet;0
TK PLANOWE;nrkrakow;0
TK PLANOWE;nzozevita;0
TK PLANOWE;powiatsredzki;0
TK PLANOWE;smtorun;0
TK PLANOWE;szpitalsiemiatycze;0
TK PLANOWE;tdallmedica;0
TK PLANOWE;tdcrir;0
TK PLANOWE;tdkoszalinmswia;0
TK PLANOWE;tdorzesze;0
TK PLANOWE;tdstalowawola;0
TK PLANOWE;tdtargowek;0
TK PLANOWE;tdzozwola;0
TK PLANOWE;wegorzewo;0
TK PLANOWE;wimed;0
TK PLANOWE;wss5;0
TK PLANOWE;bialogard;200
TK PLANOWE;brodnica;165
TK PLANOWE;brzesko;200
TK PLANOWE;cobydgoszcz;0
TK PLANOWE;dcmdolmed;210
TK PLANOWE;dzierzoniow;205
TK PLANOWE;faceclinic;0
TK PLANOWE;goleniow;210
TK PLANOWE;gorlice;200
TK PLANOWE;grajewo;215
TK PLANOWE;grodzisk;165
TK PLANOWE;kartuzy;180
TK PLANOWE;klodzko;200
TK PLANOWE;lapy;200
TK PLANOWE;lubaczow;200
TK PLANOWE;mswsiedlce;220
TK PLANOWE;nml;200
TK PLANOWE;ostrow;190
TK PLANOWE;pczotwock;215
TK PLANOWE;radiomedica;185
TK PLANOWE;rybnik;175
TK PLANOWE;scanmed;188
TK PLANOWE;sokolow;190
TK PLANOWE;spbochnia;0
TK PLANOWE;spzozlezajsk;190
TK PLANOWE;spzozmc;190
TK PLANOWE;spzozturek;165
TK PLANOWE;spzzozsierpc;200
TK PLANOWE;starachowice;190
TK PLANOWE;swk;210
TK PLANOWE;szpitaldzieciecy;200
TK PLANOWE;szpitallubartow;180
TK PLANOWE;szpitalopole;210
TK PLANOWE;szpitalzakopane;190
TK PLANOWE;szpitalzawiercie;210
TK PLANOWE;tdbelzyce;0
TK PLANOWE;tdblachownia;188
TK PLANOWE;tdbonifratrzy;190
TK PLANOWE;tdbrodnowski;180
TK PLANOWE;tdemcpiaseczno;0
TK PLANOWE;tdgniezno;230
TK PLANOWE;tdipin;200
TK PLANOWE;tdkluczbork;0
TK PLANOWE;tdkolbuszowa;200
TK PLANOWE;tdksskrakow;190
TK PLANOWE;tdneuromedyka;200
TK PLANOWE;tdnowomedica;0
TK PLANOWE;tdonkologiaradom;0
TK PLANOWE;tdparczew;205
TK PLANOWE;tdpionki;195
TK PLANOWE;tdpraski;190
TK PLANOWE;tdpoludniowy;0
TK PLANOWE;tdpyrzyce;210
TK PLANOWE;tdscanmedak5;0
TK PLANOWE;tdscanmedpila;188
TK PLANOWE;tdsmswinoujscie;190
TK PLANOWE;tdspectrum;0
TK PLANOWE;tdspzozkolo;160
TK PLANOWE;tdspzozsiedlce;160
TK PLANOWE;tdsulechowNOWY;180
TK PLANOWE;tdszpitalchelm;0
TK PLANOWE;tdszpitalkolno;180
TK PLANOWE;tdwszplock;210
TK PLANOWE;tdzoznidzica;0
TK PLANOWE;tdzozplonsk;190
TK PLANOWE;td7szmw;190
TK PLANOWE;tworki;230
TK PLANOWE;uskbialystok;190
TK PLANOWE;wlodawa;170
TK PLANOWE;zambrow;185
TK PLANOWE;zgorzelec;190
TK PLANOWE;zozbiala;170
TK PLANOWE;zozswietochlowice;0
TK PLANOWE;almed;180
TK PLANOWE;dabrowatarnowska;0
TK PLANOWE;grupazdrowie;210
TK PLANOWE;komed;195
TK PLANOWE;mswiapoznan;170
TK PLANOWE;poddebice2;180
TK PLANOWE;swp;210
TK PLANOWE;puszczykowo;210
TK PLANOWE;rodamed;170
TK PLANOWE;sm4gliwice;205
TK PLANOWE;spzozgrodzisk;180
TK PLANOWE;spzozswidnica;190
TK PLANOWE;szpitaljaslo;210
TK PLANOWE;szpitalrydygier;210
TK PLANOWE;tdmilicz;200
TK PLANOWE;tdsuchab;210
TK PLANOWE;tomograf;205
TK PLANOWE;wsswroclaw;190
TK PLANOWE;wysmaz;190
TK PLANOWE;zozbol;130,9
TK PLANOWE;zozboleslawiec;130,9
TK PLANOWE;zozsochaczew;190
TK ANGIO CITO;alfasochaczew;0
TK ANGIO CITO;bimed;0
TK ANGIO CITO;diamed;0
TK ANGIO CITO;domchojna2;0
TK ANGIO CITO;domchojna;0
TK ANGIO CITO;gz;0
TK ANGIO CITO;gzplonsk;0
TK ANGIO CITO;gzszczecin;0
TK ANGIO CITO;kamienpomorski;0
TK ANGIO CITO;kosmowroclaw;0
TK ANGIO CITO;medinet;0
TK ANGIO CITO;nrkrakow;0
TK ANGIO CITO;nzozevita;0
TK ANGIO CITO;powiatsredzki;0
TK ANGIO CITO;smtorun;0
TK ANGIO CITO;szpitalsiemiatycze;0
TK ANGIO CITO;tdallmedica;0
TK ANGIO CITO;tdcmbatorego;0
TK ANGIO CITO;tdcrir;0
TK ANGIO CITO;tdkoszalinmswia;0
TK ANGIO CITO;tdorzesze;0
TK ANGIO CITO;tdstalowawola;0
TK ANGIO CITO;tdtargowek;0
TK ANGIO CITO;tdzozwola;0
TK ANGIO CITO;wegorzewo;0
TK ANGIO CITO;wimed;0
TK ANGIO CITO;wss5;0
TK ANGIO CITO;bialogard;0
TK ANGIO CITO;brodnica;0
TK ANGIO CITO;brzesko;240
TK ANGIO CITO;cobydgoszcz;250
TK ANGIO CITO;dcmdolmed;0
TK ANGIO CITO;dzierzoniow;0
TK ANGIO CITO;faceclinic;0
TK ANGIO CITO;goleniow;0
TK ANGIO CITO;gorlice;0
TK ANGIO CITO;grajewo;0
TK ANGIO CITO;grodzisk;0
TK ANGIO CITO;kartuzy;0
TK ANGIO CITO;klodzko;0
TK ANGIO CITO;lapy;0
TK ANGIO CITO;lubaczow;0
TK ANGIO CITO;mswsiedlce;0
TK ANGIO CITO;nml;0
TK ANGIO CITO;ostrow;220
TK ANGIO CITO;pczotwock;0
TK ANGIO CITO;radiomedica;0
TK ANGIO CITO;rybnik;210
TK ANGIO CITO;scanmed;0
TK ANGIO CITO;sokolow;210
TK ANGIO CITO;spbochnia;0
TK ANGIO CITO;spzozlezajsk;0
TK ANGIO CITO;spzozmc;262,5
TK ANGIO CITO;spzozturek;0
TK ANGIO CITO;spzzozsierpc;0
TK ANGIO CITO;starachowice;0
TK ANGIO CITO;swk;0
TK ANGIO CITO;szpitaldzieciecy;0
TK ANGIO CITO;szpitallubartow;240
TK ANGIO CITO;szpitalopole;0
TK ANGIO CITO;szpitalzakopane;225
TK ANGIO CITO;szpitalzawiercie;0
TK ANGIO CITO;tdbelzyce;0
TK ANGIO CITO;tdblachownia;0
TK ANGIO CITO;tdbonifratrzy;0
TK ANGIO CITO;tdbrodnowski;0
TK ANGIO CITO;tdemcpiaseczno;0
TK ANGIO CITO;tdgammaknife;0
TK ANGIO CITO;tdgniezno;0
TK ANGIO CITO;tdipin;0
TK ANGIO CITO;tdkluczbork;0
TK ANGIO CITO;tdkolbuszowa;0
TK ANGIO CITO;tdksskrakow;0
TK ANGIO CITO;tdneuromedyka;0
TK ANGIO CITO;tdnowomedica;0
TK ANGIO CITO;tdonkologiaradom;0
TK ANGIO CITO;tdparczew;0
TK ANGIO CITO;tdpionki;0
TK ANGIO CITO;tdpraski;0
TK ANGIO CITO;tdpoludniowy;0
TK ANGIO CITO;tdpyrzyce;0
TK ANGIO CITO;tdscanmedak5;0
TK ANGIO CITO;tdscanmedpila;0
TK ANGIO CITO;tdsmswinoujscie;0
